# Distance  Fibre_OffAxis
2.43143143e-01 2.46210581e-04
2.43843844e-01 2.43672696e-04
2.44544545e-01 2.41661179e-04
2.45245245e-01 2.39613361e-04
2.45945946e-01 2.37630260e-04
2.46646647e-01 2.35852726e-04
2.47347347e-01 2.34421611e-04
2.48048048e-01 2.33477767e-04
2.48748749e-01 2.33162069e-04
2.49449449e-01 2.33573755e-04
2.50150150e-01 2.34633567e-04
2.50850851e-01 2.36216620e-04
2.51551552e-01 2.38198028e-04
2.52252252e-01 2.40452903e-04
2.52952953e-01 2.42856361e-04
2.53653654e-01 2.45283515e-04
2.54354354e-01 2.47609479e-04
2.55055055e-01 2.49709367e-04
2.55755756e-01 2.51458292e-04
2.56456456e-01 2.52731369e-04
2.57157157e-01 2.53403712e-04
2.57857858e-01 2.53315687e-04
2.58558559e-01 2.52324408e-04
2.59259259e-01 2.50633027e-04
2.59959960e-01 2.48477496e-04
2.60660661e-01 2.46093766e-04
2.61361361e-01 2.43717790e-04
2.62062062e-01 2.41326242e-04
2.62762763e-01 2.38405267e-04
2.63463463e-01 2.35018116e-04
2.64164164e-01 2.31262194e-04
2.64864865e-01 2.27234906e-04
2.65565566e-01 2.23033660e-04
2.66266266e-01 2.18755859e-04
2.66966967e-01 2.14498910e-04
2.67667668e-01 2.10360218e-04
2.68368368e-01 2.06437188e-04
2.69069069e-01 2.02827228e-04
2.69769770e-01 1.99627741e-04
2.70470470e-01 1.96936133e-04
2.71171171e-01 1.94849811e-04
2.71871872e-01 1.93466180e-04
2.72572573e-01 1.92664374e-04
2.73273273e-01 1.91932486e-04
2.73973974e-01 1.91257309e-04
2.74674675e-01 1.90654071e-04
2.75375375e-01 1.90138003e-04
2.76076076e-01 1.89724335e-04
2.76776777e-01 1.89428297e-04
2.77477477e-01 1.89265117e-04
2.78178178e-01 1.89242785e-04
2.78878879e-01 1.89302629e-04
2.79579580e-01 1.89424052e-04
2.80280280e-01 1.89601574e-04
2.80980981e-01 1.89829715e-04
2.81681682e-01 1.90102996e-04
2.82382382e-01 1.90415936e-04
2.83083083e-01 1.90763056e-04
2.83783784e-01 1.91138875e-04
2.84484484e-01 1.91537913e-04
2.85185185e-01 1.91954691e-04
2.85885886e-01 1.92383729e-04
2.86586587e-01 1.92819546e-04
2.87287287e-01 1.93257176e-04
2.87987988e-01 1.93809872e-04
2.88688689e-01 1.94544208e-04
2.89389389e-01 1.95427412e-04
2.90090090e-01 1.96426715e-04
2.90790791e-01 1.97509347e-04
2.91491491e-01 1.98642536e-04
2.92192192e-01 1.99793513e-04
2.92892893e-01 2.00929507e-04
2.93593594e-01 2.02017748e-04
2.94294294e-01 2.03025466e-04
2.94994995e-01 2.03919890e-04
2.95695696e-01 2.04668250e-04
2.96396396e-01 2.05237776e-04
2.97097097e-01 2.05595697e-04
2.97797798e-01 2.05709935e-04
2.98498498e-01 2.05709935e-04
2.99199199e-01 2.05709935e-04
2.99899900e-01 2.05709935e-04
3.00600601e-01 2.05709935e-04
